date,CNHUSD_open,CNHUSD_high,CNHUSD_low,CNHUSD_close,CNHUSD_adjClose,CNHUSD_traded_volume,CNHUSD_unadjusted_traded_Volume,CNHUSD_change,CNHUSD_changePercent,CNHUSD_vwap,CNHUSD_label,CNHUSD_changeOverTime
13-06-2022,0.14811,0.14816,0.14707,0.14707,0.14707,0,0,-0.00104,-0.70218,0.1476,"June 13, 22",-0.0070218
10-06-2022,0.14883,0.14914,0.14811,0.14811,0.14811,0,0,-0.00072,-0.48377,0.14855,"June 10, 22",-0.0048377
09-06-2022,0.14883,0.14962,0.14883,0.14883,0.14883,0,0,0,0,0.14903,"June 09, 22",0
08-06-2022,0.14953,0.14958,0.14884,0.14884,0.14884,0,0,-0.00069,-0.46145,0.1492,"June 08, 22",-0.0046145
07-06-2022,0.14988,0.14988,0.14955,0.14955,0.14955,0,0,-0.00033,-0.22018,0.14971,"June 07, 22",-0.0022018
06-06-2022,0.14985,0.15028,0.14985,0.14985,0.14985,0,0,0,0,0.14996,"June 06, 22",0
03-06-2022,0.14986,0.15065,0.14985,0.14985,0.14985,0,0,-1e-05,-0.00667289,0.15005,"June 03, 22",-6.67289e-05
02-06-2022,0.14893,0.14987,0.14893,0.14981,0.14981,0,0,0.00088,0.59088,0.14938,"June 02, 22",0.0059088
01-06-2022,0.1494,0.14946,0.1489,0.1489,0.1489,0,0,-0.0005,-0.33467,0.14917,"June 01, 22",-0.0033467
31-05-2022,0.14953,0.14973,0.14939,0.14939,0.14939,0,0,-0.00014,-0.0936267,0.14951,"May 31, 22",-0.000936267
30-05-2022,0.1484,0.14982,0.1484,0.1495,0.1495,0,0,0.0011,0.74124,0.14903,"May 30, 22",0.0074124
27-05-2022,0.14737,0.14863,0.14737,0.14842,0.14842,0,0,0.00105,0.71249,0.14795,"May 27, 22",0.0071249
26-05-2022,0.14864,0.14879,0.14739,0.14739,0.14739,0,0,-0.00125,-0.84096,0.14805,"May 26, 22",-0.0084096
25-05-2022,0.14977,0.14978,0.1486,0.1486,0.1486,0,0,-0.00117,-0.7812,0.14919,"May 25, 22",-0.007812
24-05-2022,0.14973,0.14983,0.14973,0.14977,0.14977,0,0,4e-05,0.02671475,0.14976,"May 24, 22",0.0002671475
23-05-2022,0.1489,0.15,0.1489,0.14976,0.14976,0,0,0.00086,0.57757,0.14939,"May 23, 22",0.0057757
20-05-2022,0.14819,0.14945,0.14819,0.14892,0.14892,0,0,0.00073,0.49261,0.14869,"May 20, 22",0.0049261
19-05-2022,0.14714,0.14845,0.14714,0.14819,0.14819,0,0,0.00105,0.71361,0.14773,"May 19, 22",0.0071361
18-05-2022,0.14786,0.14808,0.14709,0.14709,0.14709,0,0,-0.00077,-0.52076,0.14753,"May 18, 22",-0.0052076
17-05-2022,0.14672,0.14824,0.14672,0.14785,0.14785,0,0,0.00113,0.77017,0.14738,"May 17, 22",0.0077017
16-05-2022,0.14671,0.14699,0.14671,0.14672,0.14672,0,0,1e-05,0.00681617,0.14678,"May 16, 22",6.81617e-05
13-05-2022,0.14609,0.14681,0.14609,0.14675,0.14675,0,0,0.00066,0.45178,0.14643,"May 13, 22",0.0045178
12-05-2022,0.14754,0.14761,0.14608,0.14608,0.14608,0,0,-0.00146,-0.98956,0.14683,"May 12, 22",-0.0098956
11-05-2022,0.14782,0.14813,0.14752,0.14752,0.14752,0,0,-0.0003,-0.20295,0.14775,"May 11, 22",-0.0020295
10-05-2022,0.14767,0.14859,0.14767,0.14786,0.14786,0,0,0.00019,0.12867,0.14795,"May 10, 22",0.0012867
09-05-2022,0.14845,0.14886,0.14759,0.14759,0.14759,0,0,-0.00086,-0.57932,0.14812,"May 09, 22",-0.0057932
06-05-2022,0.14925,0.14926,0.14842,0.14842,0.14842,0,0,-0.00083,-0.55611,0.14884,"May 06, 22",-0.0055611
05-05-2022,0.15069,0.15073,0.14924,0.14924,0.14924,0,0,-0.00145,-0.96224,0.14998,"May 05, 22",-0.0096224
04-05-2022,0.15006,0.15079,0.15006,0.15072,0.15072,0,0,0.00066,0.43982,0.15041,"May 04, 22",0.0043982
03-05-2022,0.14936,0.15012,0.14936,0.15005,0.15005,0,0,0.00069,0.46197,0.14972,"May 03, 22",0.0046197
02-05-2022,0.15033,0.15033,0.14939,0.14939,0.14939,0,0,-0.00094,-0.62529,0.14986,"May 02, 22",-0.0062529
29-04-2022,0.14974,0.15087,0.14974,0.15017,0.15017,0,0,0.00043,0.28716,0.15013,"April 29, 22",0.0028716
28-04-2022,0.15135,0.15142,0.14979,0.14979,0.14979,0,0,-0.00156,-1.03072,0.15059,"April 28, 22",-0.0103072
27-04-2022,0.1514,0.15165,0.15136,0.15136,0.15136,0,0,-4e-05,-0.02642008,0.15144,"April 27, 22",-0.0002642008
26-04-2022,0.15179,0.15232,0.15136,0.15136,0.15136,0,0,-0.00043,-0.28329,0.15171,"April 26, 22",-0.0028329
25-04-2022,0.1528,0.15288,0.15173,0.15175,0.15175,0,0,-0.00105,-0.68717,0.15229,"April 25, 22",-0.0068717
22-04-2022,0.15395,0.15401,0.15281,0.15281,0.15281,0,0,-0.00114,-0.7405,0.1534,"April 22, 22",-0.007405
21-04-2022,0.15482,0.15501,0.15396,0.15396,0.15396,0,0,-0.00086,-0.55548,0.15444,"April 21, 22",-0.0055548
20-04-2022,0.15532,0.1555,0.15477,0.15477,0.15477,0,0,-0.00055,-0.35411,0.15509,"April 20, 22",-0.0035411
19-04-2022,0.15634,0.15638,0.15539,0.15539,0.15539,0,0,-0.00095,-0.60765,0.15588,"April 19, 22",-0.0060765
18-04-2022,0.1563,0.15648,0.1563,0.15635,0.15635,0,0,5e-05,0.03198976,0.15636,"April 18, 22",0.0003198976
15-04-2022,0.15614,0.15637,0.15614,0.15631,0.15631,0,0,0.00017,0.10888,0.15624,"April 15, 22",0.0010888
14-04-2022,0.15638,0.15651,0.15611,0.15611,0.15611,0,0,-0.00027,-0.17266,0.15628,"April 14, 22",-0.0017266
13-04-2022,0.15642,0.15653,0.15637,0.15637,0.15637,0,0,-5e-05,-0.03196522,0.15642,"April 13, 22",-0.0003196522
12-04-2022,0.15616,0.15648,0.15616,0.1564,0.1564,0,0,0.00024,0.15369,0.1563,"April 12, 22",0.0015369
11-04-2022,0.15662,0.15662,0.15613,0.15613,0.15613,0,0,-0.00049,-0.31286,0.15637,"April 11, 22",-0.0031286
08-04-2022,0.15675,0.15684,0.15662,0.15662,0.15662,0,0,-0.00013,-0.08293461,0.15671,"April 08, 22",-0.0008293461
07-04-2022,0.15683,0.15685,0.15675,0.15675,0.15675,0,0,-8e-05,-0.05101065,0.1568,"April 07, 22",-0.0005101065
06-04-2022,0.15636,0.15688,0.15636,0.15683,0.15683,0,0,0.00047,0.30059,0.15661,"April 06, 22",0.0030059
05-04-2022,0.15652,0.15675,0.15636,0.15636,0.15636,0,0,-0.00016,-0.10222,0.1565,"April 05, 22",-0.0010222
04-04-2022,0.15684,0.15684,0.15652,0.15652,0.15652,0,0,-0.00032,-0.20403,0.15668,"April 04, 22",-0.0020403
01-04-2022,0.15698,0.157,0.15664,0.15664,0.15664,0,0,-0.00034,-0.21659,0.15682,"April 01, 22",-0.0021659
31-03-2022,0.15686,0.15719,0.15686,0.15698,0.15698,0,0,0.00012,0.07650134,0.15697,"March 31, 22",0.0007650134
30-03-2022,0.15647,0.15692,0.15647,0.15684,0.15684,0,0,0.00037,0.23647,0.15668,"March 30, 22",0.0023647
29-03-2022,0.15619,0.15654,0.15619,0.15648,0.15648,0,0,0.00029,0.18567,0.15635,"March 29, 22",0.0018567
28-03-2022,0.15622,0.15636,0.15621,0.15621,0.15621,0,0,-1e-05,-0.00640123,0.15625,"March 28, 22",-6.40123e-05
25-03-2022,0.15633,0.15651,0.15622,0.15622,0.15622,0,0,-0.00011,-0.07036397,0.15632,"March 25, 22",-0.0007036397
24-03-2022,0.15612,0.15635,0.15612,0.15625,0.15625,0,0,0.00013,0.08326928,0.15621,"March 24, 22",0.0008326928
23-03-2022,0.15641,0.15645,0.15611,0.15611,0.15611,0,0,-0.0003,-0.1918,0.15627,"March 23, 22",-0.001918
22-03-2022,0.15654,0.15658,0.15642,0.15642,0.15642,0,0,-0.00012,-0.07665772,0.15649,"March 22, 22",-0.0007665772
21-03-2022,0.15664,0.15677,0.15658,0.15658,0.15658,0,0,-6e-05,-0.03830439,0.15664,"March 21, 22",-0.0003830439
18-03-2022,0.15672,0.15718,0.15664,0.15664,0.15664,0,0,-8e-05,-0.05104645,0.15679,"March 18, 22",-0.0005104645
17-03-2022,0.15672,0.15694,0.15672,0.15674,0.15674,0,0,2e-05,0.01276161,0.15678,"March 17, 22",0.0001276161
16-03-2022,0.15629,0.15694,0.15629,0.15678,0.15678,0,0,0.00049,0.31352,0.15658,"March 16, 22",0.0031352
15-03-2022,0.15598,0.15634,0.15598,0.15628,0.15628,0,0,0.0003,0.19233,0.15615,"March 15, 22",0.0019233
14-03-2022,0.15687,0.15687,0.15602,0.15602,0.15602,0,0,-0.00085,-0.54185,0.15645,"March 14, 22",-0.0054185
11-03-2022,0.15765,0.1577,0.15685,0.15685,0.15685,0,0,-0.0008,-0.50745,0.15726,"March 11, 22",-0.0050745
10-03-2022,0.15775,0.15778,0.15765,0.15765,0.15765,0,0,-0.0001,-0.06339144,0.15771,"March 10, 22",-0.0006339144
09-03-2022,0.15769,0.15786,0.15769,0.15777,0.15777,0,0,8e-05,0.05073245,0.15775,"March 09, 22",0.0005073245
08-03-2022,0.15768,0.15799,0.15768,0.15768,0.15768,0,0,0,0,0.15776,"March 08, 22",0
07-03-2022,0.15769,0.1578,0.15769,0.15771,0.15771,0,0,2e-05,0.01268311,0.15772,"March 07, 22",0.0001268311
04-03-2022,0.15776,0.15786,0.15769,0.15769,0.15769,0,0,-7e-05,-0.0443712,0.15775,"March 04, 22",-0.000443712
03-03-2022,0.15777,0.15781,0.15776,0.15776,0.15776,0,0,-1e-05,-0.00633834,0.15778,"March 03, 22",-6.33834e-05
02-03-2022,0.15785,0.15802,0.15776,0.15776,0.15776,0,0,-9e-05,-0.05701615,0.15785,"March 02, 22",-0.0005701615
01-03-2022,0.15799,0.15815,0.15787,0.15787,0.15787,0,0,-0.00012,-0.07595417,0.15797,"March 01, 22",-0.0007595417
28-02-2022,0.15799,0.15814,0.15799,0.15799,0.15799,0,0,0,0,0.15803,"February 28, 22",0
25-02-2022,0.15776,0.1581,0.15776,0.15808,0.15808,0,0,0.00032,0.20284,0.15793,"February 25, 22",0.0020284
24-02-2022,0.15802,0.15815,0.15776,0.15776,0.15776,0,0,-0.00026,-0.16454,0.15792,"February 24, 22",-0.0016454
23-02-2022,0.15772,0.15814,0.15772,0.15801,0.15801,0,0,0.00029,0.18387,0.1579,"February 23, 22",0.0018387
22-02-2022,0.15767,0.15785,0.15767,0.15773,0.15773,0,0,6e-05,0.03805416,0.15773,"February 22, 22",0.0003805416
21-02-2022,0.15771,0.15781,0.15766,0.15766,0.15766,0,0,-5e-05,-0.03170376,0.15771,"February 21, 22",-0.0003170376
18-02-2022,0.15746,0.15781,0.15746,0.15769,0.15769,0,0,0.00023,0.14607,0.15761,"February 18, 22",0.0014607
17-02-2022,0.15754,0.15762,0.15748,0.15748,0.15748,0,0,-6e-05,-0.03808557,0.15753,"February 17, 22",-0.0003808557
16-02-2022,0.15743,0.15756,0.15743,0.1575,0.1575,0,0,7e-05,0.04446421,0.15748,"February 16, 22",0.0004446421
15-02-2022,0.1569,0.15749,0.1569,0.15736,0.15736,0,0,0.00046,0.29318,0.15716,"February 15, 22",0.0029318
14-02-2022,0.15673,0.15694,0.15673,0.15693,0.15693,0,0,0.0002,0.12761,0.15683,"February 14, 22",0.0012761
11-02-2022,0.15675,0.15696,0.15664,0.15664,0.15664,0,0,-0.00011,-0.07017544,0.15675,"February 11, 22",-0.0007017544
10-02-2022,0.15677,0.15701,0.15673,0.15673,0.15673,0,0,-4e-05,-0.02551509,0.15681,"February 10, 22",-0.0002551509
09-02-2022,0.15668,0.15683,0.15668,0.15677,0.15677,0,0,9e-05,0.05744192,0.15674,"February 09, 22",0.0005744192
08-02-2022,0.15678,0.15687,0.15668,0.15668,0.15668,0,0,-0.0001,-0.06378365,0.15675,"February 08, 22",-0.0006378365
07-02-2022,0.15696,0.15696,0.15677,0.15677,0.15677,0,0,-0.00019,-0.12105,0.15686,"February 07, 22",-0.0012105
04-02-2022,0.15699,0.1571,0.15679,0.15679,0.15679,0,0,-0.0002,-0.1274,0.15692,"February 04, 22",-0.001274
